site	PSI-MS_name	name	composition	priority
N	null	Hex(3)HexNAc(6)NeuAc(1)	Hex(3) HexNAc(6) NeuAc(1)	0
N	null	Hex(5)HexNAc(3)	Hex(5) HexNAc(3)	0
N	null	dHex(1)Hex(4)HexNAc(5)	dHex(1) Hex(4) HexNAc(5)	0
N	null	dHex(1)Hex(7)HexNAc(3)Phos(1)	H O(3) P dHex Hex(7) HexNAc(3)	0
N	null	dHex(2)Hex(3)HexNAc(4)Pent(2)	dHex(2) Hex(3) HexNAc(4) Pent(2)	0
N	null	Hex(5)HexNAc(4)NeuGc(1)	Hex(5) HexNAc(4) NeuGc(1)	0
N	null	Hex(3)HexNAc(5)Sulf(1)	O(3) S Hex(3) HexNAc(5)	0
N	null	Hex(6)HexNAc(2)Phos(1)	H O(3) P Hex(6) HexNAc(2)	0
N	Methyl+Deamidated	Methyl+Deamidated	H C N(-1) O	0
N	null	AMTzHexNAc2	H(30) C(19) N(6) O(10)	0
N	null	Hex(3)HexNAc(2)Pent(1)	Hex(3) HexNAc(2) Pent(1)	0
N	null	Hex(7)HexNAc(2)Phos(2)	H(2) O(6) P(2) Hex(7) HexNAc(2)	0
N	null	dHex(2)Hex(2)HexNAc(3)	dHex(2) Hex(2) HexNAc(3)	0
N	null	Bacillosamine	H(6) C(4) N(2) dHex	0
N	Hex(2)HexNAc(2)dHex(1)	Hex(2)HexNAc(2)dHex(1)	dHex Hex(2) HexNAc(2)	0
N	Hex	Hex	Hex	0
N	null	dHex(1)Hex(7)HexNAc(3)	dHex(1) Hex(7) HexNAc(3)	0
N	Hex(1)HexNAc(2)Pent(1)	Hex(1)HexNAc(2)Pent(1)	Pent Hex HexNAc(2)	0
N	null	dHex(2)Hex(3)HexNAc(3)Pent(1)	dHex(2) Hex(3) HexNAc(3) Pent(1)	0
N	null	dHex(2)Hex(3)HexNAc(3)Pent(2)	dHex(2) Hex(3) HexNAc(3) Pent(2)	0
N	null	Hex(7)HexNAc(3)Phos(1)	H O(3) P Hex(7) HexNAc(3)	0
N	null	Hex(4)HexNAc(5)Sulf(1)	O(3) S Hex(4) HexNAc(5)	0
N	HexNAc(2)	HexNAc(2)	HexNAc(2)	0
N	null	dHex(2)Hex(3)HexNAc(4)	dHex(2) Hex(3) HexNAc(4)	0
N	HexNAc(2)dHex(1)	HexNAc(2)dHex(1)	dHex HexNAc(2)	0
N	null	dHex(2)Hex(5)HexNAc(3)Pent(1)	dHex(2) Hex(5) HexNAc(3) Pent(1)	0
N	null	Hex(4)HexNAc(3)Pent(1)	Hex(4) HexNAc(3) Pent(1)	0
N	null	Hex(6)HexNAc(4)Me(3)Pent(1)	Hex(6) HexNAc(4) Me(3) Pent(1)	0
N	Hex(1)HexNAc(2)dHex(2)	Hex(1)HexNAc(2)dHex(2)	dHex(2) Hex HexNAc(2)	0
N	null	dHex(1)Hex(4)HexNAc(1)Pent(1)	dHex(1) Hex(4) HexNAc(1) Pent(1)	0
N	null	dHex(1)Hex(2)HexNAc(2)Pent(1)	dHex(1) Hex(2) HexNAc(2) Pent(1)	0
N	null	dHex(1)Hex(5)HexNAc(4)Sulf(2)	O(6) S(2) dHex Hex(5) HexNAc(4)	0
N	null	dHex(1)Hex(4)HexNAc(4)Sulf(1)	O(3) S dHex Hex(4) HexNAc(4)	0
N	null	Ethyl+Deamidated	H(3) C(2) N(-1) O	0
N	null	Hex(3)HexNAc(6)Sulf(2)	O(6) S(2) Hex(3) HexNAc(6)	0
N	null	Hex(3)HexNAc(6)	Hex(3) HexNAc(6)	0
N	null	Hex(8)HexNAc(2)	Hex(8) HexNAc(2)	0
N	null	Hex(3)HexNAc(4)NeuAc(1)	Hex(3) HexNAc(4) NeuAc(1)	0
N	null	dHex(1)Hex(5)HexA(1)HexNAc(3)Sulf(2)	O(6) S(2) dHex Hex(5) HexA HexNAc(3)	0
N	HexNAc	HexNAc	HexNAc	0
N	null	dHex(1)Hex(4)HexNAc(3)NeuAc(1)Sulf(1)	O(3) S dHex Hex(4) HexNAc(3) NeuAc	0
N	null	dHex(2)Hex(3)HexNAc(2)	dHex(2) Hex(3) HexNAc(2)	0
N	null	NeuGc	NeuGc	0
N	null	dHex(1)Hex(3)HexNAc(3)Pent(3)	dHex(1) Hex(3) HexNAc(3) Pent(3)	0
N	Hex(4)HexNAc(4)	Hex(4)HexNAc(4)	Hex(4) HexNAc(4)	0
N	null	dHex(1)Hex(6)HexNAc(2)	dHex(1) Hex(6) HexNAc(2)	0
N	HexNAc(1)dHex(2)	HexNAc(1)dHex(2)	dHex(2) HexNAc	0
N	Hex(1)HexNAc(1)NeuAc(2)	Hex(1)HexNAc(1)NeuAc(2)	Hex HexNAc NeuAc(2)	0
P	null	OxProBiotinRed	H(29) C(16) N(5) O(3) S	0
P	null	OxProBiotin	H(27) C(16) N(5) O(3) S	0
P	FTC	FTC	H(15) C(21) N(3) O(5) S	0
P	Pro->Pyrrolidone	Pro->Pyrrolidone	C(-1) O(-1)	0
P	Cytopiloyne	Cytopiloyne	H(22) C(19) O(7)	0
P	Pro->Pyrrolidinone	Pro->Pyrrolidinone	H(-2) C(-1) O(-1)	0
P	Delta:H(5)C(2)	Delta:H(5)C(2)	H(5) C(2)	0
P	Pro->pyro-Glu	Pro->pyro-Glu	H(-2) O	0
P	Oxidation	Oxidation	O	0
P	Dimethyl	Dimethyl	H(4) C(2)	0
P	Glycosyl	Glycosyl	H(-2) C(-1) Hex	0
P	null	probiotinhydrazide	H(18) C(10) N(4) O(2) S	0
P	Dioxidation	Dioxidation	O(2)	0
Q	null	Pentylamine	H(11) C(5) N	0
Q	null	GEE	H(6) C(4) O(2)	0
Q	Gln->pyro-Glu	Gln->pyro-Glu	H(-3) N(-1)	0
Q	Dehydrated	Dehydrated	H(-2) O(-1)	0
Q	Deamidated	Deamidated	H(-1) N(-1) O	0
Q	null	spermine	H(23) C(10) N(3)	0
Q	Xlink:DTBP[87]	Xlink:DTBPc	H(5) C(3) N S	0
Q	null	Biotin:Thermo-21345	H(25) C(15) N(3) O(2) S	0
Q	null	Ethyl+Deamidated	H(3) C(2) N(-1) O	0
Q	null	spermidine	H(16) C(7) N(2)	0
Q	null	Deoxyhypusine	H(9) C(4) N	0
Q	Methyl+Deamidated	Methyl+Deamidated	H C N(-1) O	0
Q	Hep	Hep	Hep	0
Q	null	Xlink:DFDNB	H(2) C(6) N(2) O(4) F(2)	0
Q	Methyl	Methyl	H(2) C	0
R	null	Arg-loss	H(-12) C(-6) N(-4) O(-1)	0
R	Dimethyl	Dimethyl	H(4) C(2)	0
R	null	glucosone	H(8) C(6) O(5)	0
R	null	LG-lactam-R	H(26) C(19) N(-2) O(4)	0
R	Phospho	Phospho	H O(3) P	0
R	null	Cresylphosphate	H(7) C(7) O(3) P	0
R	null	Dihydroxyimidazolidine	H(4) C(3) O(2)	0
R	FTC	FTC	H(15) C(21) N(3) O(5) S	0
R	null	Argbiotinhydrazide	H(13) C(9) N O(2) S	0
R	HPG	HPG	H(4) C(8) O(2)	0
R	null	CresylSaligeninPhosphate	H(13) C(14) O(4) P	0
R	Dioxidation	Dioxidation	O(2)	0
R	Hep	Hep	Hep	0
R	null	G-H1	C(2) O	0
R	Trimethyl	Trimethyl	H(6) C(3)	0
R	null	OxArgBiotin	H(22) C(15) N(2) O(3) S	0
R	Oxidation	Oxidation	O	0
R	Hex(2)	Hex(2)	Hex(2)	0
R	Ethanolyl	Ethanolyl	H(4) C(2) O	0
R	null	Arg->Npo	H(-1) C(3) N O(2)	0
R	null	LG-Hlactam-R	H(26) C(19) N(-2) O(5)	0
R	null	Arg2PG	H(10) C(16) O(4)	0
R	null	Dicarbamidomethyl	H(6) C(4) N(2) O(2)	0
R	null	MG-H1	H(2) C(3) O	0
R	2HPG	2HPG	H(10) C(16) O(5)	0
R	Carbamyl	Carbamyl	H C N O	0
R	null	OxArgBiotinRed	H(24) C(15) N(2) O(3) S	0
R	ADP-Ribosyl	ADP-Ribosyl	H(13) C(10) N(5) O(9) P(2) Pent	0
R	Xlink:DTBP[87]	Xlink:DTBPc	H(5) C(3) N S	0
R	Cytopiloyne+water	Cytopiloyne+water	H(24) C(19) O(8)	0
R	Hex	Hex	Hex	0
R	null	Xlink:DFDNB	H(2) C(6) N(2) O(4) F(2)	0
R	Arg->GluSA	Arg->GluSA	H(-5) C(-1) N(-3) O	0
R	null	3-deoxyglucosone	H(8) C(6) O(4)	0
R	Arg->Orn	Arg->Orn	H(-2) C(-1) N(-2)	0
R	Methyl	Methyl	H(2) C	0
R	Deamidated	Deamidated	H(-1) N(-1) O	0
R	null	RNPXL	H(13) C(9) N(2) O(9) P	0
R	null	phosphoRibosyl	H(9) C(5) O(7) P	0
R	Cytopiloyne	Cytopiloyne	H(22) C(19) O(7)	0
R	Delta:H(2)C(3)O(1)	Delta:H(2)C(3)O(1)	H(2) C(3) O	0
R	null	Propiophenone	H(8) C(9) O	0
S	null	Hex(1)HexNAc(2)NeuGc(1)	Hex(1) HexNAc(2) NeuGc(1)	0
S	null	dHex(2)Hex(3)HexNAc(5)	dHex(2) Hex(3) HexNAc(5)	0
S	null	dHex(1)Hex(4)HexA(1)HexNAc(3)Sulf(1)	O(3) S dHex Hex(4) HexA HexNAc(3)	0
S	null	dHex(1)Hex(3)HexNAc(2)NeuGc(1)	dHex(1) Hex(3) HexNAc(2) NeuGc(1)	0
S	Ammonia-loss	Ammonia-loss	H(-3) N(-1)	0
S	null	dHex(1)Hex(2)HexA(1)HexNAc(1)Sulf(1)	O(3) S dHex Hex(2) HexA HexNAc	0
S	null	dHex(4)Hex(1)HexNAc(3)Kdn(1)	dHex(4) Hex HexNAc(3) Kdn	0
S	null	Hex(1)HexA(1)HexNAc(1)	Hex HexA HexNAc	0
S	null	dHex(1)Hex(1)HexNAc(3)NeuGc(1)	dHex(1) Hex(1) HexNAc(3) NeuGc(1)	0
S	null	dHex(1)HexNAc(5)	dHex(1) HexNAc(5)	0
S	null	Hex(5)HexNAc(1)	Hex(5) HexNAc(1)	0
S	null	Hex(3)HexNAc(2)NeuAc(2)	Hex(3) HexNAc(2) NeuAc(2)	0
S	null	HexNAc(1)NeuGc(2)	HexNAc(1) NeuGc(2)	0
S	null	dHex(2)Hex(3)HexNAc(2)Sulf(1)	O(3) S dHex(2) Hex(3) HexNAc(2)	0
S	null	O-pinacolylmethylphosphonate	H(15) C(7) O(2) P	0
S	null	Hex(5)HexNAc(5)	Hex(5) HexNAc(5)	0
S	null	dHex(2)Hex(3)HexNAc(3)	dHex(2) Hex(3) HexNAc(3)	0
S	Hex(1)HexNAc(2)dHex(1)	Hex(1)HexNAc(2)dHex(1)	dHex Hex HexNAc(2)	0
S	null	dHex(2)Hex(2)HexNAc(3)NeuGc(1)	dHex(2) Hex(2) HexNAc(3) NeuGc(1)	0
S	null	HexNAc(2)NeuAc(1)Sulf(1)	O(3) S HexNAc(2) NeuAc	0
S	null	dHex(1)Hex(1)HexNAc(2)Kdn(1)	dHex Hex HexNAc(2) Kdn	0
S	null	dHex(4)HexNAc(3)Kdn(1)	dHex(4) HexNAc(3) Kdn	0
S	null	dHex(4)Hex(2)HexNAc(3)	dHex(4) Hex(2) HexNAc(3)	0
S	null	dHex(1)Hex(3)HexNAc(2)Sulf(1)	O(3) S dHex Hex(3) HexNAc(2)	0
S	null	Malonyl	H(2) C(3) O(3)	0
S	null	Diethylphosphate	H(9) C(4) O(3) P	0
S	null	Hex(1)HexNAc(1)Sulf(1)	O(3) S Hex HexNAc	0
S	HexNAc(2)	HexNAc(2)	HexNAc(2)	0
S	null	CresylSaligeninPhosphate	H(13) C(14) O(4) P	0
S	Hex	Hex	Hex	0
S	Ethanedithiol	Ethanedithiol	H(4) C(2) O(-1) S(2)	0
S	null	Hex(4)HexNAc(1)	Hex(4) HexNAc(1)	0
S	null	dHex(1)Hex(1)HexNAc(4)	dHex(1) Hex(1) HexNAc(4)	0
S	null	Hex(1)HexNAc(2)NeuAc(1)Sulf(1)	O(3) S Hex HexNAc(2) NeuAc	0
S	null	dHex(1)Hex(4)	dHex Hex(4)	0
S	null	HexNAc(3)Sulf(1)	O(3) S HexNAc(3)	0
S	null	dHex(2)Hex(2)HexNAc(2)NeuAc(1)Sulf(1)	O(3) S dHex(2) Hex(2) HexNAc(2) NeuAc	0
S	Hex(3)HexNAc(2)	Hex(3)HexNAc(2)	Hex(3) HexNAc(2)	0
S	null	Hex(10)Phos(3)	H(3) O(9) P(3) Hex(10)	0
S	null	dHex(1)Hex(2)HexA(1)HexNAc(2)	dHex(1) Hex(2) HexA(1) HexNAc(2)	0
S	null	NeuGc	NeuGc	0
S	null	dHex(1)Hex(2)HexA(1)	dHex Hex(2) HexA	0
S	null	s-GlcNAc	O(3) S HexNAc	0
S	null	dHex(2)Hex(2)HexNAc(2)NeuGc(1)	dHex(2) Hex(2) HexNAc(2) NeuGc(1)	0
S	null	Hex(8)Phos(3)	H(3) O(9) P(3) Hex(8)	0
S	null	Hex(1)HexNAc(2)NeuAc(1)	Hex(1) HexNAc(2) NeuAc(1)	0
S	Methylamine	Methylamine	H(3) C N O(-1)	0
S	null	dHex(1)Hex(3)HexA(1)HexNAc(1)	dHex(1) Hex(3) HexA(1) HexNAc(1)	0
S	PET	PET	H(7) C(7) N O(-1) S	0
S	null	Hex(4)HexNAc(3)	Hex(4) HexNAc(3)	0
S	null	Hex(1)HexNAc(1)dHex(1)Me(2)	Me(2) dHex Hex HexNAc	0
S	null	dHex(2)Hex(3)HexA(1)HexNAc(1)Sulf(1)	O(3) S dHex(2) Hex(3) HexA HexNAc	0
S	null	Hex(5)	Hex(5)	0
S	null	dHex(1)Hex(2)HexNAc(2)NeuGc(2)	dHex(1) Hex(2) HexNAc(2) NeuGc(2)	0
S	null	cGMP	H(10) C(10) N(5) O(7) P	0
S	null	Gly	H(3) C(2) N O	0
S	null	dHex(2)Hex(2)HexNAc(5)	dHex(2) Hex(2) HexNAc(5)	0
S	null	Hex(4)HexNAc(3)NeuAc(1)	Hex(4) HexNAc(3) NeuAc(1)	0
S	null	DTT_ST	H(8) C(4) O S(2)	0
S	null	dHex(2)Hex(4)HexA(1)HexNAc(3)Sulf(1)	O(3) S dHex(2) Hex(4) HexA HexNAc(3)	0
S	null	Hex(3)Phos(1)	H O(3) P Hex(3)	0
S	Can-FP-biotin	Can-FP-biotin	H(34) C(19) N(3) O(5) P S	0
S	null	dHex(1)Hex(1)HexNAc(2)NeuAc(2)	dHex(1) Hex(1) HexNAc(2) NeuAc(2)	0
S	null	O-Isopropylmethylphosphonate	H(9) C(4) O(2) P	0
S	null	Hex(2)HexA(1)HexNAc(1)Sulf(1)	O(3) S Hex(2) HexA HexNAc	0
S	null	dHex(2)Hex(1)HexNAc(2)NeuAc(1)	dHex(2) Hex(1) HexNAc(2) NeuAc(1)	0
S	Delta:H(4)C(2)O(-1)S(1)	Delta:H(4)C(2)O(-1)S(1)	H(4) C(2) O(-1) S	0
S	null	dHex(1)Hex(2)HexA(1)HexNAc(1)	dHex(1) Hex(2) HexA(1) HexNAc(1)	0
S	null	dHex(2)Hex(4)HexNAc(5)	dHex(2) Hex(4) HexNAc(5)	0
S	FP-Biotin	FP-Biotin	H(49) C(27) N(4) O(5) P S	0
S	Didehydro	Didehydro	H(-2)	0
S	null	Hex(6)Phos(3)	H(3) O(9) P(3) Hex(6)	0
S	null	dHex(4)Hex(1)HexNAc(2)Kdn(1)	dHex(4) Hex HexNAc(2) Kdn	0
S	null	dHex(1)Hex(3)HexNAc(3)NeuAc(2)	dHex(1) Hex(3) HexNAc(3) NeuAc(2)	0
S	null	dHex(1)Hex(2)HexNAc(3)	dHex(1) Hex(2) HexNAc(3)	0
S	HexNAc	HexNAc	HexNAc	0
S	null	Hex(2)HexNAc(1)NeuGc(2)	Hex(2) HexNAc(1) NeuGc(2)	0
S	null	dHex(2)Hex(4)HexNAc(1)	dHex(2) Hex(4) HexNAc(1)	0
S	null	dHex(1)Hex(2)	dHex Hex(2)	0
S	null	Hex(1)HexNAc(1)NeuGc(1)	Hex(1) HexNAc(1) NeuGc(1)	0
S	null	Pentose	Pent	0
S	null	Hex(4)	Hex(4)	0
S	null	Hex(1)HexNAc(3)NeuAc(1)	Hex(1) HexNAc(3) NeuAc(1)	0
S	null	dHex(2)Hex(2)HexNAc(4)	dHex(2) Hex(2) HexNAc(4)	0
S	null	dHex(2)Hex(2)HexNAc(2)NeuAc(1)	dHex(2) Hex(2) HexNAc(2) NeuAc(1)	0
S	null	Hex(2)HexNAc(3)NeuGc(2)	Hex(2) HexNAc(3) NeuGc(2)	0
S	null	Hex(9)Phos(3)	H(3) O(9) P(3) Hex(9)	0
S	Hex(1)HexNAc(2)	Hex(1)HexNAc(2)	Hex HexNAc(2)	0
S	null	dHex(3)Hex(2)HexNAc(2)Kdn(1)	dHex(3) Hex(2) HexNAc(2) Kdn	0
S	null	dHex(1)Hex(3)HexA(1)HexNAc(3)Sulf(1)	O(3) S dHex Hex(3) HexA HexNAc(3)	0
S	null	dHex(3)Hex(3)HexNAc(3)NeuAc(1)	dHex(3) Hex(3) HexNAc(3) NeuAc(1)	0
S	null	dHex(1)Hex(2)HexNAc(1)Sulf(1)	O(3) S dHex Hex(2) HexNAc	0
S	null	Hex(2)HexNAc(3)NeuGc(1)	Hex(2) HexNAc(3) NeuGc(1)	0
S	null	Hex(2)HexA(1)NeuAc(1)Pent(1)Sulf(1)	O(3) S Pent Hex(2) HexA NeuAc	0
S	Hep	Hep	Hep	0
S	Hex(5)HexNAc(4)	Hex(5)HexNAc(4)	Hex(5) HexNAc(4)	0
S	null	dHex(1)Hex(3)HexNAc(1)	dHex(1) Hex(3) HexNAc(1)	0
S	Diisopropylphosphate	Diisopropylphosphate	H(13) C(6) O(3) P	0
S	null	dHex(3)Hex(2)HexNAc(3)	dHex(3) Hex(2) HexNAc(3)	0
S	null	Hex(2)HexNAc(1)Sulf(1)	O(3) S Hex(2) HexNAc	0
S	null	dHex(3)Hex(2)HexNAc(3)Kdn(1)	dHex(3) Hex(2) HexNAc(3) Kdn	0
S	null	dHex(2)Hex(1)HexNAc(1)Kdn(1)	dHex(2) Hex HexNAc Kdn	0
S	null	dHex(1)Hex(1)HexNAc(3)NeuAc(1)Sulf(1)	O(3) S dHex Hex HexNAc(3) NeuAc	0
S	null	dHex(1)Hex(3)HexNAc(5)	dHex(1) Hex(3) HexNAc(5)	0
S	null	pyrophospho	H(2) O(6) P(2)	0
S	null	Hex(1)Pent(1)	Pent Hex	0
S	null	dHex(1)Hex(1)HexNAc(2)NeuAc(1)Sulf(1)	O(3) S dHex Hex HexNAc(2) NeuAc	0
S	null	dHex(2)Hex(2)HexNAc(2)Sulf(2)	O(6) S(2) dHex(2) Hex(2) HexNAc(2)	0
S	null	Hex(2)HexNAc(4)NeuAc(1)	Hex(2) HexNAc(4) NeuAc(1)	0
S	Hex(3)HexNAc(4)	Hex(3)HexNAc(4)	Hex(3) HexNAc(4)	0
S	null	dHex(1)Hex(1)HexA(1)HexNAc(3)	dHex(1) Hex(1) HexA(1) HexNAc(3)	0
S	null	HexNAc(1)NeuAc(1)	HexNAc NeuAc	0
S	null	dHex(1)Hex(3)HexNAc(3)	dHex(1) Hex(3) HexNAc(3)	0
S	null	dHex(3)Hex(4)HexNAc(4)	dHex(3) Hex(4) HexNAc(4)	0
S	EDT-iodoacetyl-PEO-biotin	EDT-iodoacetyl-PEO-biotin	H(34) C(20) N(4) O(4) S(3)	0
S	HexN	HexN	HexN	0
S	null	Hex(1)HexNAc(1)NeuAc(2)Ac(2)	Ac(2) Hex HexNAc NeuAc(2)	0
S	AEC-MAEC	AEC-MAEC	H(5) C(2) N O(-1) S	0
S	Isopropylphospho	Isopropylphospho	H(7) C(3) O(3) P	0
S	null	Hex(2)HexA(1)Pent(1)Sulf(1)	O(3) S Pent Hex(2) HexA	0
S	null	Hex(2)HexNAc(3)NeuAc(3)	Hex(2) HexNAc(3) NeuAc(3)	0
S	null	Hex(4)HexNAc(4)NeuGc(1)Sulf(2)	O(6) S(2) Hex(4) HexNAc(4) NeuGc	0
S	PhosphoHexNAc	PhosphoHexNAc	H O(3) P HexNAc	0
S	null	dHex(1)Hex(2)HexNAc(2)Sulf(1)	O(3) S dHex Hex(2) HexNAc(2)	0
S	null	dHex(1)Hex(4)HexA(1)HexNAc(2)	dHex(1) Hex(4) HexA(1) HexNAc(2)	0
S	null	dHex(1)Hex(2)HexNAc(3)NeuAc(1)Sulf(1)	O(3) S dHex Hex(2) HexNAc(3) NeuAc	0
S	null	dHex(1)Hex(1)HexNAc(1)NeuAc(1)	dHex(1) Hex(1) HexNAc(1) NeuAc(1)	0
S	Hex(1)HexNAc(1)dHex(1)	Hex(1)HexNAc(1)dHex(1)	dHex Hex HexNAc	0
S	null	dHex(2)Hex(2)HexA(1)HexNAc(1)	dHex(2) Hex(2) HexA(1) HexNAc(1)	0
S	null	Hex(1)HexNAc(1)NeuAc(1)Sulf(1)	O(3) S Hex HexNAc NeuAc	0
S	null	dHex(2)Hex(4)HexNAc(2)	dHex(2) Hex(4) HexNAc(2)	0
S	null	dHex(2)Hex(2)HexNAc(3)NeuAc(1)	dHex(2) Hex(2) HexNAc(3) NeuAc(1)	0
S	null	Hex(2)HexNAc(1)NeuGc(4)	Hex(2) HexNAc(1) NeuGc(4)	0
S	null	15N-oxobutanoic	H(-3) 15N(-1)	0
S	null	dHex(2)Hex(2)HexNAc(1)	dHex(2) Hex(2) HexNAc(1)	0
S	null	Chlorpyrifos	H(10) C(4) O(2) P S	0
S	null	Hex(5)Phos(1)	H O(3) P Hex(5)	0
S	null	dHex(2)HexNAc(5)	dHex(2) HexNAc(5)	0
S	null	HexNAc(5)	HexNAc(5)	0
S	null	Cresylphosphate	H(7) C(7) O(3) P	0
S	null	dHex(1)Hex(2)HexNAc(4)NeuAc(1)	dHex(1) Hex(2) HexNAc(4) NeuAc(1)	0
S	null	Hex(4)HexNAc(4)NeuAc(1)	Hex(4) HexNAc(4) NeuAc(1)	0
S	null	HexNAc(2)NeuAc(1)	HexNAc(2) NeuAc(1)	0
S	null	dHex(2)Hex(2)	dHex(2) Hex(2)	0
S	null	dHex(1)Hex(2)HexNAc(4)	dHex(1) Hex(2) HexNAc(4)	0
S	null	Hex(1)Pent(2)	Pent(2) Hex	0
S	null	dHex(3)Hex(2)HexNAc(2)	dHex(3) Hex(2) HexNAc(2)	0
S	null	Hex(1)HexNAc(1)NeuAc(1)NeuGc(1)	Hex(1) HexNAc(1) NeuAc(1) NeuGc(1)	0
S	null	dHex(1)Hex(1)HexNAc(1)Kdn(1)	dHex Hex HexNAc Kdn	0
S	null	Hex(2)HexNAc(3)NeuAc(1)Sulf(1)	O(3) S Hex(2) HexNAc(3) NeuAc	0
S	null	Hex(1)NeuGc(1)	Hex NeuGc	0
S	null	dHex(1)Hex(4)HexNAc(2)	dHex(1) Hex(4) HexNAc(2)	0
S	null	dHex(1)Hex(3)HexNAc(6)	dHex(1) Hex(3) HexNAc(6)	0
S	null	dHex(2)Hex(2)HexNAc(2)Sulf(1)	O(3) S dHex(2) Hex(2) HexNAc(2)	0
S	null	HexNAc(1)Kdn(2)	HexNAc Kdn(2)	0
S	null	dHex(1)Hex(3)HexA(2)HexNAc(2)	dHex(1) Hex(3) HexA(2) HexNAc(2)	0
S	null	dHex(1)Hex(6)	dHex Hex(6)	0
S	null	Hex(5)Phos(3)	H(3) O(9) P(3) Hex(5)	0
S	null	dHex(3)Hex(1)HexNAc(2)Kdn(1)	dHex(3) Hex HexNAc(2) Kdn	0
S	null	Hex(1)HexNAc(1)NeuGc(5)	Hex(1) HexNAc(1) NeuGc(5)	0
S	null	Hex(2)HexNAc(3)NeuAc(1)NeuGc(1)	Hex(2) HexNAc(3) NeuAc(1) NeuGc(1)	0
S	null	Carbofuran	H(4) C(2) N O	0
S	null	Hex(2)HexNAc(1)NeuGc(3)	Hex(2) HexNAc(1) NeuGc(3)	0
S	dHex	dHex	dHex	0
S	dHex(1)Hex(4)HexNAc(4)	dHex(1)Hex(4)HexNAc(4)	dHex Hex(4) HexNAc(4)	0
S	Carbamidomethyl	Carbamidomethyl	H(3) C(2) N O	0
S	null	Hex(4)Phos(1)	H O(3) P Hex(4)	0
S	null	Hex(3)HexNAc(3)	Hex(3) HexNAc(3)	0
S	ADP-Ribosyl	ADP-Ribosyl	H(13) C(10) N(5) O(9) P(2) Pent	0
S	DAET	DAET	H(9) C(4) N O(-1) S	0
S	Hex(3)	Hex(3)	Hex(3)	0
S	null	Hex(1)NeuAc(1)	Hex NeuAc	0
S	null	Ethylphosphate	H(5) C(2) O(3) P	0
S	Dehydrated	Dehydrated	H(-2) O(-1)	0
S	null	dHex(2)Hex(1)HexNAc(2)Kdn(1)	dHex(2) Hex HexNAc(2) Kdn	0
S	Deoxy	Deoxy	O(-1)	0
S	null	Hex(3)HexNAc(1)	Hex(3) HexNAc(1)	0
S	null	dHex(1)Hex(2)HexNAc(4)NeuAc(2)	dHex(1) Hex(2) HexNAc(4) NeuAc(2)	0
S	null	dHex(1)Hex(5)	dHex Hex(5)	0
S	null	Hex(2)HexNAc(2)NeuAc(2)Sulf(1)	O(3) S Hex(2) HexNAc(2) NeuAc(2)	0
S	null	MercaptoEthanol	H(4) C(2) S	0
S	null	Hex(2)HexNAc(3)	Hex(2) HexNAc(3)	0
S	null	Hex(1)HexNAc(1)NeuGc(4)	Hex(1) HexNAc(1) NeuGc(4)	0
S	null	dHex(2)Hex(3)HexNAc(1)Sulf(1)	O(3) S dHex(2) Hex(3) HexNAc	0
S	Formyl	Formyl	C O	0
S	null	Hex(6)HexNAc(4)	Hex(6) HexNAc(4)	0
S	null	NeuAc	NeuAc	0
S	null	Hex(1)HexNAc(2)Sulf(1)	O(3) S Hex HexNAc(2)	0
S	PhosphoribosyldephosphoCoA	PhosphoribosyldephosphoCoA	H(42) C(26) N(7) O(19) P(3) S	0
S	null	ethylamino	H(5) C(2) N O(-1)	0
S	null	dHex(3)Hex(3)HexNAc(3)	dHex(3) Hex(3) HexNAc(3)	0
S	Thiophospho	Thiophospho	H O(2) P S	0
S	null	Hex(3)HexNAc(3)NeuAc(2)	Hex(3) HexNAc(3) NeuAc(2)	0
S	null	Hex(3)HexNAc(3)NeuAc(2)Sulf(1)	O(3) S Hex(3) HexNAc(3) NeuAc(2)	0
S	null	Hex(2)HexNAc(3)Sulf(1)	O(3) S Hex(2) HexNAc(3)	0
S	null	Hex(2)HexNAc(1)	Hex(2) HexNAc	0
S	null	dHex(1)Hex(3)HexA(1)HexNAc(2)	dHex(1) Hex(3) HexA(1) HexNAc(2)	0
S	null	dHex(2)Hex(2)HexNAc(2)Kdn(1)	dHex(2) Hex(2) HexNAc(2) Kdn	0
S	null	HexNAc(4)	HexNAc(4)	0
S	null	Hex(3)HexNAc(5)	Hex(3) HexNAc(5)	0
S	null	dHex(2)Hex(3)	dHex(2) Hex(3)	0
S	null	dHex(3)HexNAc(3)Kdn(1)	dHex(3) HexNAc(3) Kdn	0
S	null	Hex(1)HexNAc(1)NeuGc(2)	Hex(1) HexNAc(1) NeuGc(2)	0
S	dHex(1)Hex(3)HexNAc(4)	dHex(1)Hex(3)HexNAc(4)	dHex Hex(3) HexNAc(4)	0
S	null	dHex(2)Hex(1)HexNAc(2)NeuGc(1)	dHex(2) Hex(1) HexNAc(2) NeuGc(1)	0
S	null	dHex(1)Hex(1)HexNAc(3)NeuAc(1)	dHex(1) Hex(1) HexNAc(3) NeuAc(1)	0
S	Thiophos-S-S-biotin	Thiophos-S-S-biotin	H(34) C(19) N(4) O(5) P S(3)	0
S	null	HexNAc(2)NeuGc(1)	HexNAc(2) NeuGc(1)	0
