site	PSI-MS_name	name	composition	priority
C	Palmitoleyl	Palmitoleyl	H(28) C(16) O	0
C	null	NO_SMX_SMCT	H(10) C(10) N(3) O(4) S	0
C	Nethylmaleimide	Nethylmaleimide	H(7) C(6) N O(2)	0
C	GG	GG	H(6) C(4) N(2) O(2)	0
C	Dioxidation	Dioxidation	O(2)	0
C	Dehydrated	Dehydrated	H(-2) O(-1)	0
C	null	DMPO	H(9) C(6) N O	0
C	null	Ub-fluorescein	H(29) C(31) N(6) O(7)	0
C	Delta:Se(1)	Delta:Se(1)	Se	0
C	null	EHD-diphenylpentanone	H(18) C(18) O(2)	0
C	EQAT	EQAT	H(20) C(10) N(2) O	0
C	null	Bodipy	H(21) B C(20) N(4) O(3) F(2)	0
C	null	2-succinyl	H(4) C(4) O(4)	0
C	Cys->Oxoalanine	Cys->Oxoalanine	H(-2) O S(-1)	0
C	Dipyrrolylmethanemethyl	Dipyrrolylmethanemethyl	H(22) C(20) N(2) O(8)	0
C	null	Cys->methylaminoAla	H(3) C N S(-1)	0
C	PyruvicAcidIminyl	PyruvicAcidIminyl	H(2) C(3) O(2)	0
C	null	HN3_mustard	H(13) C(6) N O(2)	0
C	QAT	QAT	H(19) C(9) N(2) O	0
C	HNE+Delta:H(2)	HNE+Delta:H(2)	H(18) C(9) O(2)	0
C	null	NA-OA-NO2	H(33) C(18) N O(4)	0
C	null	MTSL	H(14) C(9) N O S	0
C	null	Xlink:BMOE	H(8) C(10) N(2) O(4)	0
C	Carboxymethyl	Carboxymethyl	H(2) C(2) O(2)	0
C	Delta:Hg(1)	Delta:Hg(1)	Hg	0
C	null	Withaferin	H(38) C(28) O(6)	0
C	null	Cy3b-maleimide	H(38) C(37) N(4) O(7) S	0
C	null	Thiadiazole	H(6) C(9) N(2) S	0
C	null	Cy3-maleimide	H(45) C(37) N(4) O(9) S(2)	0
C	null	NEMsulfur	H(7) C(6) N O(2) S	0
C	null	MM-diphenylpentanone	H(19) C(18) N O	0
C	Octanoyl	Octanoyl	H(14) C(8) O	0
C	null	ethylsulfonylethyl	H(8) C(4) O(2) S	0
C	BHT	BHT	H(22) C(15) O	0
C	Hex	Hex	Hex	0
C	null	DimethylamineGMBS	H(21) C(13) N(3) O(3)	0
C	null	Biotin:Cayman-10013	H(60) C(36) N(4) O(5) S	0
C	null	Cys->CamSec	H(3) C(2) N O S(-1) Se	0
C	null	biotinAcrolein298	H(22) C(13) N(4) O(2) S	0
C	null	phenylsulfonylethyl	H(8) C(8) O(2) S	0
C	null	Ub-VME	H(13) C(7) N(2) O(3)	0
C	null	MDCC	H(21) C(20) N(3) O(5)	0
C	null	betaFNA	H(30) C(25) N(2) O(6)	0
C	null	maleimide5	H(79) C(49) N(7) O(33)	0
C	null	Ub-Br2	H(8) C(4) N(2) O	0
C	null	Ub-amide	H(14) C(9) N(3) O(2)	0
C	Diironsubcluster	Diironsubcluster	H(-1) C(5) N(2) O(5) S(2) Fe(2)	0
C	null	Cys->SecNEM:2H(5)	H(2) 2H(5) C(6) N O(2) S(-1) Se	0
C	null	Biotin:Invitrogen-M1602	H(33) C(23) N(5) O(7) S	0
C	IED-Biotin	IED-Biotin	H(22) C(14) N(4) O(3) S	0
C	null	CarbamidomethylDTT	H(11) C(6) N O(3) S(2)	0
C	null	Ethanolamine	H(5) C(2) N	0
C	null	Delta:H(6)C(3)O(1)	H(6) C(3) O	0
C	null	Menadione-HQ	H(8) C(11) O(2)	0
C	null	DNPS	H(3) C(6) N(2) O(4) S	0
C	null	DyLight-maleimide	H(48) C(39) N(4) O(15) S(4)	0
C	Maleimide-PEO2-Biotin	Maleimide-PEO2-Biotin	H(35) C(23) N(5) O(7) S	0
C	Delta:H(4)C(3)O(1)	Delta:H(4)C(3)O(1)	H(4) C(3) O	0
C	null	PEITC	H(9) C(9) N S	0
C	null	Methyl-PEO12-Maleimide	H(58) C(32) N(2) O(15)	0
C	Pyro-carbamidomethyl	Pyro-carbamidomethyl	C(2) O	0
C	null	NEMsulfurWater	H(9) C(6) N O(3) S	0
C	Nmethylmaleimide	Nmethylmaleimide	H(5) C(5) N O(2)	0
C	null	PS_Hapten	H(4) C(7) O(2)	0
C	null	BITC	H(7) C(8) N S	0
C	Ammonia-loss	Ammonia-loss	H(-3) N(-1)	0
C	null	methylsulfonylethyl	H(6) C(3) O(2) S	0
C	null	Dipyridyl	H(11) C(13) N(3) O	0
C	DHP	DHP	H(8) C(8) N	0
C	null	SMCC-maleimide	H(27) C(17) N(3) O(3)	0
C	null	15N-oxobutanoic	H(-3) 15N(-1)	0
D	null	Ammonium	H(3) N	0
D	Cation:K	Cation:K	H(-1) K	0
D	null	Propargylamine	H(3) C(3) N O(-1)	0
D	null	Ethanolamine	H(5) C(2) N	0
D	Phospho	Phospho	H O(3) P	0
D	Deoxy	Deoxy	O(-1)	0
D	Cation:Na	Cation:Na	H(-1) Na	0
D	Methylthio	Methylthio	H(2) C S	0
D	null	Cation:Ni[II]	H(-2) Ni	0
D	Carbamidomethyl	Carbamidomethyl	H(3) C(2) N O	0
D	null	UgiJoullieProGly	H(10) C(7) N(2) O(2)	0
D	Oxidation	Oxidation	O	0
D	null	Cation:Fe[II]	H(-2) Fe	0
D	Dehydrated	Dehydrated	H(-2) O(-1)	0
D	null	UgiJoullieProGlyProGly	H(20) C(14) N(4) O(4)	0
D	null	Propyl	H(6) C(3)	0
D	Carboxy	Carboxy	C O(2)	0
D	null	Cation:Zn[II]	H(-2) Zn	0
D	Sulfide	Sulfide	S	0
D	Methyl	Methyl	H(2) C	0
D	null	UgiJoullie	H(60) C(47) N(23) O(10)	0
D	Cation:Cu[I]	Cation:Cu[I]	H(-1) Cu	0
D	null	phosphoRibosyl	H(9) C(5) O(7) P	0
D	Biotin-PEO-Amine	Biotin-PEO-Amine	H(28) C(16) N(4) O(3) S	0
